INFO 2024-11-29 20:08:13,527 autoreload Watching for file changes with StatReloader
DEBUG 2024-11-29 20:08:13,533 autoreload Waiting for apps ready_event.
DEBUG 2024-11-29 20:08:13,607 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-11-29 20:08:13,638 autoreload Watching dir C:\Users\KENL158\Downloads\django-api\healthcare_api\tests\templates with glob **/*.
DEBUG 2024-11-29 20:08:13,641 autoreload Watching dir C:\Users\KENL158\Downloads\django-api\venv\lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-11-29 20:08:13,642 autoreload Watching dir C:\Users\KENL158\Downloads\django-api\healthcare_api\locale with glob **/*.mo.
DEBUG 2024-11-29 20:08:13,643 autoreload Watching dir C:\Users\KENL158\Downloads\django-api\healthcare_api\tests\locale with glob **/*.mo.
DEBUG 2024-11-29 20:08:13,647 autoreload Watching dir C:\Users\KENL158\Downloads\django-api\venv\lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-11-29 20:08:13,778 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-11-29 20:08:13,786 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-11-29 20:08:14,015 autoreload File C:\Program Files\Python310\Lib\email\base64mime.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,021 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\core\files\base.py first seen with mtime 1732886804.7542548
DEBUG 2024-11-29 20:08:14,021 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\core\management\commands\__init__.py first seen with mtime 1732886804.7792487
DEBUG 2024-11-29 20:08:14,022 autoreload File C:\Program Files\Python310\Lib\zoneinfo\_tzpath.py first seen with mtime 1633399926.0
DEBUG 2024-11-29 20:08:14,022 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\urls\converters.py first seen with mtime 1732886805.040637
DEBUG 2024-11-29 20:08:14,022 autoreload File C:\Program Files\Python310\Lib\stat.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,023 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\forms\widgets.py first seen with mtime 1732886804.9146636
DEBUG 2024-11-29 20:08:14,023 autoreload File C:\Program Files\Python310\Lib\urllib\response.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,023 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\views\generic\detail.py first seen with mtime 1732886805.108293
DEBUG 2024-11-29 20:08:14,023 autoreload File C:\Program Files\Python310\Lib\glob.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,023 autoreload File C:\Program Files\Python310\Lib\asyncio\format_helpers.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,023 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\sqlparse\filters\output.py first seen with mtime 1732886799.6415076
DEBUG 2024-11-29 20:08:14,027 autoreload File C:\Program Files\Python310\DLLs\_bz2.pyd first seen with mtime 1633399960.0
DEBUG 2024-11-29 20:08:14,027 autoreload File C:\Program Files\Python310\Lib\reprlib.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,028 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\core\files\storage\mixins.py first seen with mtime 1732886804.7633977
DEBUG 2024-11-29 20:08:14,028 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django_redis\client\default.py first seen with mtime 1732888971.3373916
DEBUG 2024-11-29 20:08:14,028 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\urls\__init__.py first seen with mtime 1732886805.0359335
DEBUG 2024-11-29 20:08:14,028 autoreload File C:\Program Files\Python310\Lib\statistics.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,028 autoreload File C:\Program Files\Python310\Lib\threading.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,028 autoreload File C:\Users\KENL158\Downloads\django-api\healthcare_api\tests\models.py first seen with mtime 1732888234.5574315
DEBUG 2024-11-29 20:08:14,028 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\core\cache\__init__.py first seen with mtime 1732886804.7241929
DEBUG 2024-11-29 20:08:14,028 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\core\servers\__init__.py first seen with mtime 1732886804.8088536
DEBUG 2024-11-29 20:08:14,028 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\rest_framework\checks.py first seen with mtime 1732888344.9917932
DEBUG 2024-11-29 20:08:14,028 autoreload File C:\Program Files\Python310\Lib\uu.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,028 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\core\checks\security\__init__.py first seen with mtime 1732886804.739439
DEBUG 2024-11-29 20:08:14,031 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\db\models\utils.py first seen with mtime 1732886804.8830812
DEBUG 2024-11-29 20:08:14,032 autoreload File C:\Program Files\Python310\Lib\importlib\metadata\__init__.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,032 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\asgiref\sync.py first seen with mtime 1732886800.1210854
DEBUG 2024-11-29 20:08:14,033 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\contrib\auth\forms.py first seen with mtime 1732886801.8857014
DEBUG 2024-11-29 20:08:14,033 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\contrib\auth\tokens.py first seen with mtime 1732886801.891143
DEBUG 2024-11-29 20:08:14,033 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\core\validators.py first seen with mtime 1732886804.7231362
DEBUG 2024-11-29 20:08:14,034 autoreload File C:\Program Files\Python310\Lib\asyncio\runners.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,034 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\sqlparse\lexer.py first seen with mtime 1732886799.6329741
DEBUG 2024-11-29 20:08:14,034 autoreload File C:\Users\KENL158\Downloads\django-api\healthcare_api\manage.py first seen with mtime 1732888168.4983537
DEBUG 2024-11-29 20:08:14,034 autoreload File C:\Program Files\Python310\Lib\concurrent\futures\__init__.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,036 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\core\management\__init__.py first seen with mtime 1732886804.7746708
DEBUG 2024-11-29 20:08:14,037 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\contrib\staticfiles\__init__.py first seen with mtime 1732886804.6842685
DEBUG 2024-11-29 20:08:14,037 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\core\checks\async_checks.py first seen with mtime 1732886804.7319603
DEBUG 2024-11-29 20:08:14,038 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\contrib\auth\password_validation.py first seen with mtime 1732886801.889657
DEBUG 2024-11-29 20:08:14,038 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\utils\crypto.py first seen with mtime 1732886805.066298
DEBUG 2024-11-29 20:08:14,039 autoreload File C:\Program Files\Python310\Lib\email\header.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,039 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\contrib\messages\utils.py first seen with mtime 1732886803.589033
DEBUG 2024-11-29 20:08:14,046 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\utils\autoreload.py first seen with mtime 1732886805.0494716
DEBUG 2024-11-29 20:08:14,047 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\db\models\fields\mixins.py first seen with mtime 1732886804.8878813
DEBUG 2024-11-29 20:08:14,047 autoreload File C:\Program Files\Python310\Lib\wsgiref\headers.py first seen with mtime 1633399926.0
DEBUG 2024-11-29 20:08:14,048 autoreload File C:\Program Files\Python310\Lib\http\__init__.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,048 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\contrib\postgres\search.py first seen with mtime 1732886803.6012342
DEBUG 2024-11-29 20:08:14,048 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\views\i18n.py first seen with mtime 1732886805.0980656
DEBUG 2024-11-29 20:08:14,048 autoreload File C:\Program Files\Python310\Lib\html\entities.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,048 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\db\transaction.py first seen with mtime 1732886804.8109808
DEBUG 2024-11-29 20:08:14,048 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\template\smartif.py first seen with mtime 1732886805.0129716
DEBUG 2024-11-29 20:08:14,048 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\views\decorators\common.py first seen with mtime 1732886805.1012077
